DATE,FLEREA
2016-01-01,14400384.0
2016-04-01,14753260.0
2016-07-01,14781848.0
2016-10-01,14898192.0
2017-01-01,16715632.0
2017-04-01,16722592.0
2017-07-01,16501440.0
2017-10-01,16950888.0
2018-01-01,16897880.0
2018-04-01,17204364.0
2018-07-01,17597972.0
2018-10-01,18064340.0
2019-01-01,17073176.0
2019-04-01,17150124.0
2019-07-01,17091132.0
2019-10-01,17026852.0
2020-01-01,12087080.0
2020-04-01,11480398.0
2020-07-01,12345726.0
2020-10-01,12304336.0
2021-01-01,13956198.0
2021-04-01,14948769.0
2021-07-01,16079572.0
2021-10-01,16478293.0
2022-01-01,19610570.0
2022-04-01,19649710.0
2022-07-01,19890340.0
2022-10-01,20335040.0
2023-01-01,20766737.0
2023-04-01,21194499.0
